DATE,CSUSHPISA
2003-01-01,140.18
2004-01-01,159.329
2005-01-01,180.90900000000002
2006-01-01,184.138
2007-01-01,174.34099999999998
2008-01-01,153.618
2009-01-01,147.929
2010-01-01,142.056
2011-01-01,136.673
2012-01-01,145.5
2013-01-01,160.994
2014-01-01,168.049
2015-01-01,176.54
2016-01-01,185.718
2017-01-01,197.16299999999998
2018-01-01,206.138
2019-01-01,213.91099999999997
2020-01-01,236.453
2021-01-01,281.291
2022-01-01,297.346
