DATE,TLRESCONS
2003-01-01,508637
2004-01-01,571871
2005-01-01,676135
2006-01-01,551740
2007-01-01,423699
2008-01-01,301332
2009-01-01,264592
2010-01-01,248929
2011-01-01,255090
2012-01-01,305105
2013-01-01,366094
2014-01-01,406913
2015-01-01,459296
2016-01-01,519253.0
2017-01-01,571985.0
2018-01-01,524626.0
2019-01-01,594372.0
2020-01-01,734722.0
2021-01-01,891046.0
2022-01-01,863102.0
