DATE,VIXCLS_PCH
2003-01-01,-19.45447
2004-01-01,-29.58311
2005-01-01,-17.26513
2006-01-01,-0.00414
2007-01-01,36.92961
2008-01-01,86.44875
2009-01-01,-3.72077
2010-01-01,-28.36849
2011-01-01,7.33380
2012-01-01,-26.44734
2013-01-01,-20.06288
2014-01-01,-0.38037
2015-01-01,17.62201
2016-01-01,-5.08845
2017-01-01,-29.92231
2018-01-01,50.04041
2019-01-01,-7.52592
2020-01-01,90.09734
2021-01-01,-32.80248
2022-01-01,30.42812
2023-01-01,-34.14458
