DATE,MORTGAGE30US
2003-01-01,5.85
2004-01-01,5.81
2005-01-01,6.22
2006-01-01,6.18
2007-01-01,6.17
2008-01-01,5.10
2009-01-01,5.14
2010-01-01,4.86
2011-01-01,3.95
2012-01-01,3.35
2013-01-01,4.48
2014-01-01,3.87
2015-01-01,4.01
2016-01-01,4.32
2017-01-01,3.99
2018-01-01,4.55
2019-01-01,3.74
2020-01-01,2.67
2021-01-01,3.11
2022-01-01,6.42
2023-01-01,6.61
