DATE,PCU333120333120_PCH
2003-01-01,1.18913
2004-01-01,4.19698
2005-01-01,4.61869
2006-01-01,4.46612
2007-01-01,2.30958
2008-01-01,4.51489
2009-01-01,1.88419
2010-01-01,-0.09021
2011-01-01,4.92099
2012-01-01,2.36661
2013-01-01,1.00883
2014-01-01,0.95714
2015-01-01,1.19538
2016-01-01,0.65173
2017-01-01,0.93080
2018-01-01,3.40818
2019-01-01,2.48158
2020-01-01,1.17291
2021-01-01,9.41025
2022-01-01,9.04181
2023-01-01,.
