DATE,QBPQYNTIY_PCH
2003-01-01,3.26110
2004-01-01,8.08090
2005-01-01,2.97493
2006-01-01,1.90928
2007-01-01,12.32576
2008-01-01,4.86498
2009-01-01,3.72180
2010-01-01,5.79670
2011-01-01,0.69620
2012-01-01,-2.08380
2013-01-01,1.37521
2014-01-01,1.03036
2015-01-01,3.20865
2016-01-01,7.57622
2017-01-01,8.64774
2018-01-01,8.11809
2019-01-01,-2.44894
2020-01-01,-3.93183
2021-01-01,4.32862
2022-01-01,31.56113
