DATE,CPALTT01USM657N
2003-01-01,-0.108401084010841
2004-01-01,-0.366492146596853
2005-01-01,-0.40485829959513
2006-01-01,0.148883374689833
2007-01-01,-0.0670863129647814
2008-01-01,-1.03424738142875
2009-01-01,-0.176119816946313
2010-01-01,0.171844078920309
2011-01-01,-0.246651637713817
2012-01-01,-0.269306449020735
2013-01-01,-0.00858114978825904
2014-01-01,-0.567010091001089
2015-01-01,-0.341709643711866
2016-01-01,0.0327321392317517
2017-01-01,-0.05878322772623
2018-01-01,-0.319396281513109
2019-01-01,-0.0909769525053793
2020-01-01,0.0941478467042597
2021-01-01,0.307251716148357
2022-01-01,-0.307009146454112
