DATE,UMCSENT_PCH
2003-01-01,6.80507
2004-01-01,4.85961
2005-01-01,-5.76725
2006-01-01,0.21858
2007-01-01,-17.66630
2008-01-01,-20.39735
2009-01-01,20.63228
2010-01-01,2.75862
2011-01-01,-6.17450
2012-01-01,4.29185
2013-01-01,13.16872
2014-01-01,13.45455
2015-01-01,-1.06838
2016-01-01,6.04752
2017-01-01,-2.34216
2018-01-01,2.50261
2019-01-01,1.01729
2020-01-01,-18.73112
2021-01-01,-12.51549
2022-01-01,-15.29745
